,title
78,店东推荐+朝南带飘窗+高区视野好+税费少
79,诚意出售，配套齐全，交通便利。
80,东二+全明户型+交通便利+总价低
81,由由七村 边套全明一室一厅 一楼带天井 精装近地铁
82,朝向好，采光好，楼层好，视野开阔，业主诚心出售
83,忍痛出售，精装修，一梯两户 南北户型，中楼层采光好
84,05年房龄，小区环境好，距离地铁近
85,沿河边 飞机户型 中间楼层 满五唯一 精装 随时可看
86,精装小户型，好楼层，业主诚意出售
87,全明户型 南北通风 满五唯一 税费少 温馨自住装修
88,85年原建房 满五唯一 精装修 诚意出售
89,2016次新小区+看房随时+-产权车位+一梯一户
90,恒大小三房，户型正气，配套齐全，你值得拥有
91,中间楼层 满五年不唯一 居家装修 诚意售房 方便看房
92,地铁口，双轨交，低总价，朝南一室户
93,楼层好 位置佳，一梯两户 看房方便
94,省时省心省装修的房子，领包入住！看房方便！
95,房子诚意出售+位置好+满五年不唯一+2号线金科路
96,精装一房，满五唯一，看房方便。位置好，视野佳！
97,2012年次新房，钥匙房，临河位置景观，南北通采光好
98,内环内电梯住宅+免增值税+朝东一室
99,满五唯一，户型正气，电梯大三房税费低
100,次新小区，环境佳，楼层好，采光好，交通便利
101,仁恒滨江大两房   精装修带新风地暖  买进价高税费低
102,总价较低两房，高区楼层，满五年税少，很诚意出售！
103,2号线世纪公园地铁站+业主诚意出售+满五年唯一
104,内环内 次新房 物业管理好 总价低的三房两卫 带地暖
105,户型正气，得房率高，业主诚意出售，您的安居选择
106,94年房龄，中间楼层，朝南采光好，业主诚意出售，
107,楼层佳，南北户型，带大阳台，采光好，业主诚意出售
108,一手动迁，中间楼层，中等装修，南北通风，诚心出售
109,双南、中间楼层、精装修3年、拎包入住
110,2000年商品房，绿地精工社区，全明落地窗，车位充足。
111,证大精装修正气两房，业主诚意出售
112,此房小区位置好，满五年税费少，一梯两户，精装修
113,双南全明户型 中间楼层 满五税少 婚房装修品牌家电
114,黎明花园，中间楼层，房改售房，自住看房方便
115,店长推荐：客厅面宽5.3米，飞机户型得房率高，唯一
116,房型正，精装修，采光好，交通便利。
117,好房 ！主楼高区大三房，位置好楼层好视野好价格好！
118,满五唯一户型方正精致装修近地铁 业主诚售看房方便
119,房东诚意出售，近地铁，出行方便，生活配套齐全
120,南北全明户型，已改好餐厅，布局更合理
121,南北户型，满五唯一。有阁楼，居家装修位置安静 可谈
122,心圆东苑 一手动迁 无增值税 12年电梯房 川中
123,三大商圈，九轨交汇，低总价，电梯产权一室户
124,松林小区 精装两房 业主诚售 看房方便
125,南京西路3轨+临太古汇+顶楼复式+带露台+带产权车位
126,花园小区，小高层中区看江景，通透，采光好，含车位
127,售后公房，满五唯一，厅带明窗，中间楼层，视野开阔。
128,新上好房：全明不暗，垫高不潮，采光不挡，看房不难
129,新德佳苑，全明户型，2房中楼层，中间排
130,新挂牌大三房，景观楼层采光好，精装修，业主诚心出售
131,满五不唯一，房型好，中间采光好，产权清晰，对口建平
132,婚房精装+小区央位+双南卧室+一梯两户+满五唯一+地铁
133,寿祥坊 3室1厅 712万
134,满五唯一，电梯房，精装修，诚意出售，产权清晰
135,此房精装，房东自住，清爽干净，拎包入住
136,此房满五不唯一，配套齐全，房子采光好，看房方便。
137,象屿鼎城 南北通 楼层好采光充足 配套齐全 诚售
138,小区中间，出门地铁46号线  已经满5年，钥匙房随时看
139,花园洋房，超精装修，楼层好，视野佳，税费少。
140,全景采光＋实木全装＋诚意出售两房+户型通透
141,南北两房，花园小区，闹中取静，精装拎包入住
142,东昌2房朝南，采光好，产权清晰，诚意出售，随时签约
143,江景  有阳台  朝东南两房  自住装修 业主诚意
144,新小区，停车方便，双南两房，楼层佳，教育资源丰富
145,金山新城，万达商圈，绿地商品房，精装大两房。
146,精装小三房，房东诚意出售，满五唯一税费少，楼层好。
147,西渡优选房  四室两厅两卫  户型方正  满五唯一
148,鸿宝好房出售，两房朝南，中间楼层，不靠高架，诚意卖
149,满五唯一税费少，南北通户型采光好，有40平大院子
150,自带空中花园+4/8双轨交通+高区视野开阔+滨江金融城
151,徐家汇内环边08年电梯房，地铁3/4/9号线，全明户型
152,近地铁口600米，边套，双阳台，客厅带阳台，中间楼层
153,中虹家园 两房精装  拎包入住 配套齐全。
154,花苑村紫竹园 1室1厅 345万
155,安静不靠路 精装修 地铁350米 满五唯一 全明的2室2厅
156,园西 中间楼层 满二 没有增值税 近地铁
157,双南两房，近地铁菜场，总价低两房。
158,满五+中间楼层+精装修+采光无遮挡+业主诚心出售
159,花园小区，宜居，通透，采光好，得房率高，物业口碑好
160,一手动迁房，2号线华夏东路地铁站
161,精装，户型正气，高区视野广阔，全明户型，满五唯一
162,满五唯一，近地铁，精装修可拧包入住，配套设施齐全
163,拎包入住，中间楼层，一梯三户，采光充足，精装一房
164,2号线华夏东路地铁站，交通方便
165,东昌路地铁口+楼层好双南两房+带租约+产权清晰+诚意！
166,房东诚意急售，价格可谈，梓树园正气三房，采光充足
167,动静分离复式2房+看小区绿化和湖景+诚意售价格可谈
168,附带阁楼，税费少，位置好，价格可谈
169,新出《必卖笋盘》，地铁口，户型正气，静享奢华生活
170,桂平小区边套三房，全明户型，双南双天井
171,中等装修 师大未用 必看好房 中间楼层
172,近地铁 中间楼层 全明户型 满五唯一
173,精装一房，中间楼层，不靠路，产权户口清晰
174,徐姑姑力荐+自住精装+满五年+繁华地段+拎包入住
175,装修满二年，自住保养，买进的，税费少业主置换
176,售后公房，户型方正，全明户型距离世纪大道地铁100米
177,中间楼层精装修，满五唯一税费少，可拎包入住
178,此房是中层 ，客厅朝南小2房，户型合理，居住舒适
179,新上笋盘 近地铁98年大三房 没有增值税 业主诚心出售
180,三林板块+11号线+2009年商品房小区车位配比高南北通
181,中间楼层，花园位置，一梯两户，隐私性更好
182,新装修过看房方便+有车位+看中可谈
183,房龄新  户型方正  双阳台 园西 交通便利
184,满五年唯一，复式房，采光好，户型通透
185,水闸小区 满五唯一，全明户型，63.8平  2室1厅
186,六楼带阁楼  业主置换 有钥匙 随时看房
187,朝南一房，中间楼层，可直接入住，近地铁近医院
188,盛大低总价，看小区绿化景观，钥匙房，业主诚意出售
189,开发商的样板房+进口全新家私丨现诚心速售丨看再谈
190,边套有窗+满五唯一+楼下小花园+近地铁六院+产权清晰
191,此房满五唯一，交通便利，配套齐全
192,顶楼复式，5+1房！约50平米露台！有钥匙！随时看
193,房型方正采光充足诚意出售随时看房 交通便利四轨交汇
194,寿德坊 1室1厅 309万
195,临港自贸区 2楼 南北通透 带储藏室 龙湖天街街旁
196,交通便利+简单装修+看房方便+满五唯一+诚心出售
197,房子是满五年唯一，税少附储藏间，婚房装修。诚心出售
198,宜山路站，港式花园小区，双南户型，采光无遮挡
199,8.9万\平距黄浦江约100米一线江景盘270度赏园景水景
200,满五唯一税费少 钥匙房 看房方便 业主自住装修 诚售
201,一手动迁满五唯一 无个税无增值税 户型正气采光好
202,内环内8号线地铁口 1996年房龄 全明户型 采光明亮
203,双天井，近地铁，随时看房，诚心出售，价格可谈
204,低总价两方 满五唯一 无抵押房东诚意出售
205,东湖路上俯瞰淮海中路洋房景观，一南一北，厅朝南
206,近地铁600米，居家装修，非顶楼，三个阳台，全明户型
207,万科优诗美地 3室2厅 670万
208,免增值税，户型方正，明星楼盘。
209,笋盘 正对世纪公园大平层 8.1万/平 满五唯一 有钥匙
210,歌林大三房—全明户型—两南一北—总价低
211,精装带阁楼三房，附带产权车位，你确定不来看看吗？
212,总价低满五唯一 精装修 上圆西近轨交 诚心卖随时看
213,毫装大四房，全明南北直通，小区钟心花园位置视野好
214,南北通，一手动迁，满五年唯一，简装，可直接出租
215,售后公房税少，非顶层飞机户型，业主诚售看房方便
216,满两年，纯毛坯，户型方正，价位合理，价位便宜
217,永清二村 1室1厅 165万
218,用心选房，南北的两房，距离花园近，业主诚心出售的
219,上钞苑 新上顶楼复式 旖旎风光多难觅 春花秋月揽月明
220,万科品质，精装三房，满五唯一，税费少
221,日式精装修南北通大三房，双楠双阳台啊，诚意出售！
222,静教院 满五看花园 高区采光好 看房方便 业主诚售
223,牡丹逸庭 2室1厅 198万
224,地铁口 外环内  降价11万 小区中间位置  电梯三房
225,品质小区 电梯高区 视野开阔 一梯两户 随时可看
226,苏州河景观社区，市区独享私家20平花园，双南板式户型
227,钥匙房， 0个税，双南户型，南北通，景观楼层
228,静安寺板块 高区 满五年唯一税少 精装修 可以拎包入住
229,高买入价，税低，高区，采光好，精装修
230,惊！！风荷园出罕见，此时不看何时来看？
231,优质三房，近地铁，税费少，全明户型，楼层低
232,满五唯一税费少，精装修，看房方便，两房朝南
233,莘南花苑一村 2室1厅 418万
234,苏州河景观三房  敞亮舒适  总价单价低 且带电梯
235,一手动迁，满三年无增值税，户型正气，
236,居家精装修、双南两房、西边套全明、近锦江乐园站
237,小区中间位置，户型方正，小区环境好，近地铁，
238,明强东校 一梯两户，精装修，户型正气，产权清晰
239,内环二楼电梯房，西南两房 ，视野好，无遮挡
240,满五唯一非顶楼，南北两房，位置不靠马路 诚售
241,正南两房 满五唯一  湖景旁边 精装修  自住 看房方便
242,正气三房 采光好 无遮挡 满五 新上
243,近康健公园   环境优美   总价低   诚意出售
244,满五年唯一税少，南北双阳台，格局正气
245,一梯2户 双南户型 小区位置佳 高区 采光好
246,新上房源 位置好 稀有户型和楼层 精装双南双阳台
247,新出双南户型 一梯两户 采光好 诚心出售 闹中取静
248,花园小区 精装有车位 全明边套 诚意出售
249,店长推荐：ViP精品  南北直通电梯大2房 落地窗 诚售！
250,"南北户型,采光通风好，业主诚心卖好房！！！"
251,南北通电梯大两房，户型正气，离地铁600m
252,明珠未用，户型全明方正，单价低，花园围绕
253,静安区02年电梯大两房，满五唯一，明厨明卫，采光好
254,新城三期 两梯一户 层高3.6M 采光很好 带小露台
255,09年电梯精装商品房，低密度，近地铁，安静舒适。
256,远中新装修全南两房，梦想改造家设计，带地暖有车位
257,满五唯一无个税+精装带地暖+楼栋位置安静+户型通透
258,浦西标杆新天地HZ+有产权车位，中区4+1板式南北通
259,金地格林郡 2室2厅 308万
260,附8㎡已搭好天井（满五年唯一低总价）、朝南位置安静
261,13号金运路  近万达广场 税费少 看房方便
262,美式精装三房看房方便满五唯一税省下2%中高层有地暖
263,满五唯一，南北两房，楼层好，采光充足，配套齐全
264,动迁房，满五唯一，近地铁，中间楼层，视野无遮挡
265,满五唯一 距离地铁站300米  位置好 急售 价格好谈
266,园西二居 中间楼层 两房朝南 近地铁 诚心出售
267,精装修，总价低，业主诚意出售，楼层好
268,14号线地铁站400米，动迁税少，两房两卫，采光好、
269,新外滩花苑，距离滨江跑道50米，南北通，全明户型
270,优质地段+繁华市区，小户型方正，交通出行快，楼层好
271,宝宸怡景园毛坯两房，近小区出口和中间位置
272,东边套全明户型  双南两房 楼层好 视野宽阔 毛坯房
273,双南小两房+婚房装修+地铁口3.11.12号线+近龙华会
274,04年房龄 罕见南北通正气三房 近地铁 视野开阔
275,此房满五年唯一，南北通透格局好，楼层好，视野开阔
276,南北通大阁楼 两代居住也合适 房间多 精装 满五唯一
277,中山公园双南两房，采光无遮挡。双地铁，楼层好
278,御桥+张江+前滩，南边无遮挡，视野开阔，满五唯一
279,万科品质，精装从未住过人，真边套，带产权车位
280,地铁嘉定北500米，业主诚意出售。
281,一梯两户，南北两房 前方无遮挡阳光充足
282,16号线惠南站，双南房间，全明户型，配套成熟
283,双南夹厅飞机户 南北通透带花园
284,奉贤新城，简单装修，看房方便，随时入住。
285,世茂经典H户型两房 重新装修保养好 诚意出售看房方便
286,板式三房+两南一北+南北通透+带3个阳台+带车位+方便看
287,大华中区，公园旁边，精装两房，
288,地铁口，高区豪.装，小区中间，视野开阔，佳友居委
289,老静安昌平路站三房+遥看东方明珠塔+电梯高区采光好
290,近14号线+一梯两户+全明户型+满五唯一
291,百年不遇户型，客厅朝南带阳台，3开间朝南，次顶楼
292,三林板块+电梯高区+满五年+11号地铁沿线+印象城商场
293,满五唯一.非顶楼.看房方便.诚意出售.内环边.总价低
294,原建1995年+一楼带花园抬高70公分边套全明+采光很不错
295,创世纪花园2000年，高区景观房，边套全明，南北通风
296,精装修， 地中海风格，带40平方阁楼，南北通透
297,中冶锦城 3室2厅 509万
298,满五唯一，带产权车位，精装修可拎包入住，随时可签
299,满五唯一 中间楼层 采光视野好 装修保养好 多10平方
300,Fire~~精装修榻榻米+店长推荐vip好房+大大两房+税费低
301,新凯城玉兰苑 3室2厅 299万
302,绿茵苑(闵行) 2室2厅 430万
303,品质小区非顶楼，改好三房拎包入住
304,动迁，满五唯一，好楼层，西南北朝向，全明户型
305,双南两房小区位置安静+一梯两户+17年刚装修+满五唯一
306,有车位得房率82 满五年唯一 近闵行体育公园 精装修
307,华润高区景观大两房，房型正，保养好 视野宽阔
308,白玉兰奖项小区，飞机户型，采光好，带大储藏室
309,老静安近南京西路精装两房带露台，可领包入住
310,满五年唯一 一手动迁 精装修 电梯房 南北通
311,春申景城湖畔林语 2室2厅 743万
312,房东wu税 装修好 房型好 小区车位宽松 东门地铁620m
313,金地湾流域（二期569弄） 3室2厅 780万
314,朝南三房 近9号地铁  满五唯一、飞机户型 ，采光充足
315,电梯顶复 花园洋房 双露台 满五唯一 200平使用面积
316,小区中间位置，楼层好，南北双阳台
317,带产权车位，2012年商品房，满五年唯一税少，精装修
318,万科清林径 精装大三房 楼层佳采光好 价格可议
319,徐家汇 地铁口  朝南一室  满五年唯一  采光好
320,小区中间位置、中间楼层、精装原始两房，近13号线
321,《房型正气》《中区楼层》《居家精装》《必看好房》
322,好消息 新上花园大三房 小区安静位置
323,一楼带院子 边套  小区中间位置   近地铁 采光好
324,平江盛世家园 2室1厅 420万
325,7月链家又一力作：新上房源，建平未用，万科经典
326,白雪公主南北通两房。2004年次新小区。满五唯一
327,装修保养精致 满五年 税费少 采光没有遮挡 看房方便
328,云锦东方锦园 4室2厅 6199万
329,烫金地段 景观房 精装修 朝南带阳台 生活配套成熟
330,小兰子推荐，满两年税费少，中间楼层采光好，随时可看
331,推荐！全新房 次顶楼采光好 满两年 业主诚意 随时签字
332,70年纯住宅+2梯4户高区全南采光好+赏湖景花园+税少
333,花园洋房 满五唯一 精装平层 有车位
334,浦江东旭公寓+满四唯一+随时可看+非一楼+双南双阳台
335,没怎么住过半新房，有钥匙满五唯一。高层采光景观好
336,商品房好装修电梯房一梯两户看房方便
337,中环一号三房两卫，楼层好位置佳，看房随时方便。
338,视野宽阔，采光充足，交通便利，配套齐全
339,大平层四房 三房朝南  带空中花园 位置安静 户型正气
340,全明户型，视野开阔，税费低，装修保养好，出行方便
341,高区景观房朝南两房，有地下车位，随时看房
342,徐家汇电梯大三房  高区看东方明珠  徐汇和市四
343,次新洋房，高区景观，人车分流，阳台可封闭，看房方便
344,莘闵别墅区双南两房边套钥匙房随时可看中间楼层
345,08年次新房，品牌物业，居住体验好，税费低
346,梧桐树下对高一  天平街道尽显旧上海风情 满五唯一Key
347,南京路夜景尽收眼底 3房朝南 停车方便 价格看中谈
348,电梯洋房 1梯2户 花园社区 通透户型 满五税少 诚意售
349,满五唯一，飞机南北户型，通风采光好，房源干净
350,此房满五唯一有车位，精装修保养很好，诚心出售
351,批复地铁+大宁公园+板式住宅+少有三房+位置安静
352,此房 买入价格高 税费低 交通方便，进地铁 看房子方便
353,品质物业 繁华商圈 经典复式户型 车位充足诚意出售
354,象屿一楼带地下室，看房方便，房龄新
355,低楼层，2001年南北大两房，前后无遮挡，采光好
356,汇枫公寓 18号线地铁口 精装修2房 拎包入住
357,#店长推荐# 一手动迁 楼层好 户型方正 采光好
358,满五唯一，视野好看苏州河和造币厂，婚房装修
359,双南两房，未来的电梯房！急售 随时看房！
360,精装修，近地铁，楼层好，双卧朝南
361,小区位置好，楼层好，景观房，房东诚心出售。
362,三房两卫+全明户型+三开间朝南+采光视野俱佳
363,电梯房一梯两户得房率高，配套齐全 南北通
364,4楼，客厅带大窗户   边套全明，满五唯一，近地铁
365,此房南北两房，满五唯一 位置好采光充足，交通便利
366,小区安静位置顶楼复式 买进价高税费少 带露台
367,梅莲苑 2室2厅 595万
368,锦华茗园南北通三房，前面正对中间花园，视野好。
369,电梯两房 总价低  南北通 一梯两户，诚意出售
370,满五唯一，  一梯两户，房型正气，精装修房
371,五月花都荟豪庭 内环内高品质小区 近地铁 总价低
372,三林板块+近前滩+人车分流+电梯洋房+南北通+双地铁
373,满五唯一税费少，南北通，楼层好，视野宽阔，交通便利
374,浦江世博家园七街坊 2室1厅 384万
375,满五年唯一，近地铁，边套厅有窗户，采光无遮挡
376,鹏润伊顿公馆 2室1厅 308万
377,内环内高品质小区，近地铁，高层视野宽阔，配套齐全
378,新上两房，中间楼，没有个税，南北户型，诚意出售
379,3+1户型，南北直通，满五唯一，东边套全明
380,仙霞两房，南北通风，业主诚售，链家专属，诚意出售
381,诚意出售+精装修20万+满五唯一+近13号地铁+万达商圈
382,一手动迁，满五唯一，楼层好，精装修，诚心出售
383,中楼层，飞机户型三房，满五唯一，税少
384,近小区花园位置   满五唯一   户型正气
385,美兰湖空中花园户型 南北通 近地铁 小区绿化好
386,花园小区+地面铺瓷砖+板式南北通+近8号线+龙之梦旁
387,稀有电梯房，中间楼层，税费少，看房有钥匙
388,金地三期少有四房户型，精装修，诚意出售
389,南北通透户型 高层景观视野  诚意出售  看房随时！
390,优选上大小三房，诚意急售，看房方便，中间位置
391,大平层三房楼层好，采光足，半梯一户，得房率高
392,宜浩佳园，明珠旁，中间楼层，开发商装修，户型正气
393,店 长推荐+精装地暖+临别墅视野好+满五唯一+到价签字
394,一手动迁满五年，精装修诚意出售随时看房
395,安高大三房，户型正气，南北通透，视野开阔
396,7号线边上，无增值税，一手动迁，业主诚意出售
397,近地铁10号线+全明户型+精品家电+满五唯一+双南大两房
398,满五唯一+中间楼层+南北通透+单价低
399,新上vip+南北户型+免增值税+有钥匙+随时可约
400,精装修带全空调，中间楼层，随时看房
401,静安区次新房！双南双阳台！一手动迁免增值税！
402,万里一期精装平顶复式！12.8平大露台！有隔热层！
403,店长推荐，水榭花堤，大3房，带60平米花园庭院
404,中间楼层，拎包入住，交通方便，视野开阔，诚意出售
405,全明大户型，通风采光好，适合家庭人口多的客户。
406,满五唯一，位置好，楼层好，视野宽阔，采光充足
407,经典户型 高区景观 视野开阔 税费少
408,户型方正，南北通透，房东诚心卖，靠小区大门好位置
409,南北通透小三房，满五年，采光好，随时可看，得房率高
410,2000年红色商品房+满五年唯一+一梯一户+有钥匙+边套
411,两房朝南，楼层好，诚意出售，看房提前约，配套成熟
412,满五唯一   中间楼层 税费较少
413,小区中间位置好，楼层好，税费少，精装拎包住
414,妙栏小区小户型出售57平精装修好楼层，总价低诚意卖
415,万科南北双阳台二房 一楼带花园 随时可看房
416,静教院！！！南北通两房，视野采光无遮挡，总价低。
417,经典三房，带露台，前排安静，随时看房
418,新出小区中间位置正看小区花园，采光无遮挡，视野开阔
419,急售 急售，到价签字 空调加地暖，居住舒适
420,内环旁 南北通格局 采光和阳光充足 业主诚意出售
421,徐汇苑一期、户型方正、看房方便、诚意出售、复旦
422,一楼带220㎡大花园  二次装修 有地暖
423,中间位置、中高楼层、1梯1户、边间套全天日照
424,非顶楼小区花园中间位置近地铁满五年诚意出售有钥匙
425,美兰湖岭域电梯洋房经典3房带车位7号线地铁站下来就到
426,南北通透的两房，唯一住房，自住精装修，拎包入住，
427,维护人带看锦桂苑三房带阁楼 满五唯一
428,依水伴墅，鸟语花香，南北格局，满五年税费少有钥匙
429,内环内烫金地段 业主诚意出售随时看房 有钥匙好户型
430,满五；正宗复式；空间大；居住舒适；带阳光房、露台
431,满五唯一，高区边套全明，视野开阔，地铁口，可上复旦
432,22号线直达上海南站+业主急售+低于市场价+满五唯一
433,汉中路地铁口，朝南两居室，电梯房，户型方正，。
434,达安锦园品质小区，南北通西边套，户型全明，楼层佳
435,新上山水人家 人车分流 长寿路双轨13/7 配套齐全
436,近一号线延长路站   楼层好    电梯房
437,品质小区+人车分流+会所室内游泳池+地铁口+阳光无遮挡
438,税少 上档次 空中别墅 ，出高层钱，体验别墅
439,此房为满五年 ，南北通户型，高层视野好，采光充足
440,花园洋房，使用面积大，产权车位，诚意出售，看房方便
441,徐汇滨江精装带花园，满五税少，边套全明，近地铁
442,一线滨江，高区江景全南两房，总价低，有钥匙随时看！
443,中间楼层，业主诚意出售，单价、总价低，生活便利
444,满五唯一，南北户型，采光好，楼层优越，房龄新
445,满五年唯一，户型正气，高区视野采光好、看陆家嘴景色
446,地铁口旁，边套全明两房，总价低
447,满五唯一楼层好 电梯房高区 户型方正 大阳台
448,7号线举步即达，精装修，高区楼层，底总价，商品房
449,高区景观房，三开间朝南，双阳台，双飘窗，动静分明
450,嘉善路建国西路，环境优美，向阳售后公房，双南采光好
451,张江南 纯商品房小区 高楼层南北通户型业主诚心出售
452,汇枫公寓 18号线地铁口 一手动迁免增值税 诚意出售
453,店长推荐！ 中间楼层+双南一北+动迁房税费少
454,此房满五年唯一，花园位置，税费低，诚意出售
455,田林九村，老干部分房，双南，精装修，拎包入住近地铁
456,一手动迁，中高楼层，精装修，满五唯一，价格可谈。
457,精装3年（飞机户型）小区中间位置+地铁1号线+诚售
458,耕读园标准三房 总价低  业主诚意出售 看房方便
459,南北通，中高区，近地铁，诚意出售，配套齐全。
460,塘和家园登云苑 1室1厅 121万
461,高层南北通三房 满五唯一+苏州河景观另有产权车位可售
462,低总价刚需两房，业主诚心出售！！！！
463,非顶楼 双南户型 精装修 看房有钥匙 诚心出售
464,钥匙房+顶楼复式+通阳台(6+14地铁)商品房+不靠路诚意
465,10号线伊犁路站新虹桥公园旁，双南双天井，使用面积大
466,精装双南两房，产权清晰，高品质小区可拎包入住！
467,一梯一户刷卡入户 有8平米入室花园 带产权车位
468,电梯正气三房 楼层好 一手动迁 满五唯一 配套齐全！
469,全明户型，一楼带花园，满五唯一，位置安静
470,『上海春天新出南北通两房，税费少，采光无遮挡』
471,店长推荐-七宝烫金地段，满五唯一精装修三房。
472,高区采光好  厨卫全明  配套设施齐全  看房方便
473,低税，精装修，近地铁优质一房！
474,带阁楼有露台，满五唯一，安静位置，蝴蝶户型，急售
475,电梯南北通透，高品质小区，附面积多，精装修
476,春港丽园(公寓) 2室2厅 385万
477,此房是南北大两房 中间楼层采光好 满五年唯一税少
478,含车位，城开开发，园林式社区，顶楼复式，小区仅7套
479,景观位置，正看小区千平绿化，房屋可塑性强
480,南北通小三房两卫  房型正 近地铁位置好
481,三林前滩+电梯洋房+两条地铁+边套方正全明户型
482,小朋友 你是否有很多问号 这房子为什么这么好
483,自住精装修 经典设计三个房间 视野佳 满五唯一 税费少
484,双南精装修  房东诚意出售 三号线18号线长江南路站
485,银都新村(8至10区) 2室1厅 310万
486,两房两卫，次顶楼，近地铁，位置安静，配套成熟
487,大柏树地铁口+东边套全明+精装修+楼层好+满五唯一
488,高行绿洲新出两室一厅，业主诚心出售精装修，看房方便
489,飞机户型三房，电梯中层，满五1/2唯一，房东诚意出售
490,毛坯 一直空置   南北通透大三房  看房随时  户型正气
491,东航公寓 2室2厅 625万
492,多增加南阳台面积6平方，前面无遮挡，旁边小河流水。
493,13年电梯盛华景苑南北两房+税费少近黄浦江+全明户型
494,原动迁两房，带阁楼和露台，近联航路，南北通户型
495,楼层位置好，满五，双南户型，交通便利
496,"八方小区 ，总价低，地铁1号线，大宁国际,采光好。"
497,房子全明 三轨交汇 单价低 看房方便
498,中海精装小三房，开发商精装修，户型优质
